,valence_9,ground_truth_9,text_9,valence_22,ground_truth_22,text_22
0,0.32776777170873683,1,it 's a charming and often affecting journey . ,0.381442195904724,1,it 's a charming and often affecting journey . 
1,-0.7288323283036481,0,unflinchingly bleak and desperate ,-0.45908274423102896,0,unflinchingly bleak and desperate 
2,0.40799282601545794,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,0.3266121565866578,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
3,0.41430881875122577,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",0.5864946508661273,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . "
4,-0.29031967663477615,0,"it 's slow -- very , very slow . ",0.09602838638333965,0,"it 's slow -- very , very slow . "
5,0.4258237557382754,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.44273004150365847,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . "
6,-0.403003905236355,0,a sometimes tedious film . ,-0.14000602639953683,0,a sometimes tedious film . 
7,-0.37962203693287006,0,or doing last year 's taxes with your ex-wife . ,-0.23400983333596018,0,or doing last year 's taxes with your ex-wife . 
8,0.5218274782151648,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,0.4322547568594927,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 
9,-0.38754053317600107,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",-0.4193531474221664,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . "
10,0.41685750257812937,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,0.5318195253551498,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 
11,-0.32807466889679343,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.04464694501678703,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . "
12,-0.44402647015576796,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,-0.4614891993751025,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 
13,0.6347608974818089,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.46122526475711145,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
14,-0.3403418939136283,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,-0.5031199448835484,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
15,0.3194193306480349,1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",0.3198789104203681,1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . "
16,0.4719076596127809,1,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,0.43636554058659044,1,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . 
17,0.4199079118320621,1,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",0.44184690688905803,1,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . "
18,-0.3278154680405985,0,... the movie is just a plain old monster . ,-0.47821042887589815,0,... the movie is just a plain old monster . 
19,-0.3719278898429305,0,"in its best moments , resembles a bad high school production of grease , without benefit of song . ",-0.42606876221864104,0,"in its best moments , resembles a bad high school production of grease , without benefit of song . "
20,-0.5824386405271442,0,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",-0.399061185469511,0,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . "
21,-0.5988262434266808,0,the iditarod lasts for days - this just felt like it did . ,-0.5324894253066015,0,the iditarod lasts for days - this just felt like it did . 
22,0.3370360698375632,0,holden caulfield did it better . ,-0.3323679900092348,0,holden caulfield did it better . 
