,valence_9,ground_truth_9,text_9,valence_22,ground_truth_22,text_22,nr_targets,singly_tokenized
0,0.5687825194435777,1,it 's a charming and often affecting journey . ,0.5710561581572926,1,it 's a charming and often affecting journey . ,1,False
1,-0.1501965135460683,0,unflinchingly bleak and desperate ,-0.304357289188774,0,unflinchingly bleak and desperate ,1,False
2,0.5433579363535735,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,0.7237503230374125,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,False
3,0.47716734003456274,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",0.5302666830375651,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,False
4,0.4513321521318173,0,"it 's slow -- very , very slow . ",0.37240968062640506,0,"it 's slow -- very , very slow . ",1,False
5,0.3889890418106876,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.5494974004863346,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,False
6,0.46076634232732877,0,a sometimes tedious film . ,0.26159709484252697,0,a sometimes tedious film . ,1,False
7,0.2802717522018771,0,or doing last year 's taxes with your ex-wife . ,0.34235226334255386,0,or doing last year 's taxes with your ex-wife . ,1,False
8,0.45227479260015024,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,0.41161292243390674,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,False
9,0.25744900515953256,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0.2736980686502045,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",1,False
10,0.6021638866376716,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,0.5602783537768117,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,False
11,0.33640656571729743,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.2648929180335065,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",1,False
12,-0.15243092413619388,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,-0.3081942565554653,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,1,False
13,0.3567124719050704,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.30884806549546556,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,False
14,0.16538691512173626,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,-0.2610903795016317,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,1,False
