,valence_9,ground_truth_9,text_9,valence_22,ground_truth_22,text_22
0,0.5593356162249413,1,it 's a charming and often affecting journey . ,0.45326428327831236,1,it 's a charming and often affecting journey . 
1,0.12272356785836891,0,unflinchingly bleak and desperate ,-0.425841373757092,0,unflinchingly bleak and desperate 
2,0.5934574920549254,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,0.22247439070721034,1,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . 
3,0.5314020992827239,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",-0.011268443389896415,1,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . "
4,0.06914964422583778,0,"it 's slow -- very , very slow . ",-0.5287687259203818,0,"it 's slow -- very , very slow . "
5,0.4335036506778599,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",0.6076666489198226,1,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . "
6,0.4539296101092557,0,a sometimes tedious film . ,0.18943179782612352,0,a sometimes tedious film . 
7,-0.29297526278988184,0,or doing last year 's taxes with your ex-wife . ,-0.2936300912635887,0,or doing last year 's taxes with your ex-wife . 
8,0.45403755830363834,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,0.3711987742909624,1,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . 
9,0.25921717577554043,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",-0.5037197730789812,0,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . "
10,0.4104545438380146,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,0.1774325620011616,1,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . 
11,0.17830997144316374,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",-0.18461659377998366,0,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . "
12,0.02454118603131516,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,-0.4725759405647649,0,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... 
13,0.29989871447191213,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.19773502541728885,1,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . "
14,0.10602671402275259,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,-0.6427873668849146,0,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . 
15,0.3786807181022015,1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",0.4170786049812494,1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . "
